gamme acceleration : +-2g ;    frequence echantillonnage : 100Hz ;   Nombre de points : 256t(s);Ax(g);Ay(g);Az(g);F(Hz);TF(Ax);TF(Ay);TF(Az)
0,0;-0,036;-0,386;-0,403;0,0;0,692;1,192;0,653
0,01;-0,024;-0,336;-0,374;1,01;0,018;0,068;0,05
0,02;-0,05;-0,339;-0,366;2,02;0,029;0,014;0,034
0,03;-0,097;-0,382;-0,325;3,03;0,347;0,197;0,046
0,04;-0,146;-0,43;-0,282;4,04;0,508;0,289;0,126
0,05;-0,15;-0,468;-0,287;5,05;0,368;0,195;0,15
0,06;-0,174;-0,469;-0,293;6,06;0,249;0,175;0,098
0,07;-0,283;-0,478;-0,302;7,07;0,076;0,075;0,02
0,08;-0,443;-0,506;-0,302;8,08;0,045;0,048;0,128
0,09;-0,552;-0,585;-0,304;9,09;0,08;0,069;0,138
0,1;-0,591;-0,694;-0,291;10,101;0,065;0,043;0,084
0,11;-0,603;-0,734;-0,27;11,111;0,039;0,067;0,052
0,12;-0,641;-0,696;-0,27;12,121;0,062;0,044;0,036
0,13;-0,705;-0,679;-0,319;13,131;0,064;0,021;0,026
0,14;-0,758;-0,683;-0,38;14,141;0,049;0,026;0,026
0,15;-0,783;-0,722;-0,369;15,151;0,017;0,019;0,022
0,16;-0,708;-0,72;-0,348;16,161;0,01;0,018;0,016
0,17;-0,665;-0,683;-0,308;17,171;0,02;0,035;0,028
0,18;-0,604;-0,636;-0,26;18,181;0,022;0,035;0,025
0,19;-0,522;-0,609;-0,26;19,191;0,013;0,009;0,014
0,2;-0,415;-0,624;-0,313;20,202;0,016;0,016;0,006
0,21;-0,394;-0,609;-0,294;21,212;0,003;0,024;0,012
0,22;-0,338;-0,572;-0,287;22,222;0,011;0,022;0,01
0,23;-0,26;-0,508;-0,298;23,232;0,0;0,008;0,02
0,24;-0,182;-0,465;-0,357;24,242;0,004;0,009;0,013
0,25;-0,139;-0,448;-0,427;25,252;0,002;0,003;0,007
0,26;-0,141;-0,452;-0,442;26,262;0,001;0,003;0,011
0,27;-0,182;-0,46;-0,395;27,272;0,004;0,003;0,012
0,28;-0,248;-0,478;-0,358;28,282;0,0;0,011;0,002
0,29;-0,311;-0,477;-0,353;29,292;0,005;0,009;0,001
0,3;-0,364;-0,469;-0,365;30,303;0,001;0,004;0,002
0,31;-0,368;-0,52;-0,384;31,313;0,001;0,005;0,004
0,32;-0,367;-0,554;-0,411;32,323;0,006;0,004;0,004
0,33;-0,35;-0,583;-0,433;33,333;0,005;0,0;0,003
0,34;-0,344;-0,583;-0,451;34,343;0,006;0,003;0,003
0,35;-0,359;-0,574;-0,458;35,353;0,005;0,003;0,003
0,36;-0,35;-0,554;-0,47;36,363;0,006;0,004;0,003
0,37;-0,38;-0,563;-0,501;37,373;0,005;0,001;0,0
0,38;-0,422;-0,594;-0,496;38,383;0,005;0,004;0,002
0,39;-0,446;-0,603;-0,474;39,393;0,004;0,003;0,003
0,4;-0,384;-0,569;-0,36;40,404;0,003;0,002;0,003
0,41;-0,269;-0,511;-0,353;41,414;0,002;0,003;0,005
0,42;-0,134;-0,429;-0,34;42,424;0,002;0,0;0,002
0,43;-0,041;-0,374;-0,298;43,434;0,001;0,004;0,005
0,44;-0,029;-0,348;-0,239;44,444;0,002;0,004;0,004
0,45;-0,061;-0,378;-0,232;45,454;0,0;0,001;0,002
0,46;-0,095;-0,397;-0,278;46,464;0,004;0,002;0,002
0,47;-0,114;-0,426;-0,341;47,474;0,004;0,003;0,004
0,48;-0,125;-0,478;-0,412;48,484;0,004;0,003;0,001
0,49;-0,141;-0,562;-0,391;49,494;0,004;0,004;0,001
0,5;-0,131;-0,633;-0,364;;;;
0,51;-0,143;-0,667;-0,24;;;;
0,52;-0,196;-0,696;-0,123;;;;
0,53;-0,264;-0,671;-0,141;;;;
0,54;-0,353;-0,645;-0,202;;;;
0,55;-0,506;-0,671;-0,286;;;;
0,56;-0,747;-0,668;-0,302;;;;
0,57;-1,073;-0,688;-0,342;;;;
0,58;-1,402;-0,747;-0,481;;;;
0,59;-1,654;-0,89;-0,614;;;;
0,6;-1,602;-1,235;-0,786;;;;
0,61;-1,367;-1,235;-0,818;;;;
0,62;-1,094;-1,157;-0,767;;;;
0,63;-0,811;-1,14;-0,694;;;;
0,64;-0,466;-1,105;-0,614;;;;
0,65;-0,201;-1,019;-0,395;;;;
0,66;0,013;-0,863;-0,106;;;;
0,67;0,202;-0,65;0,15;;;;
0,68;0,423;-0,429;0,318;;;;
0,69;0,725;-0,334;0,411;;;;
0,7;1,076;-0,196;0,307;;;;
0,71;1,279;0,171;-0,045;;;;
0,72;1,216;0,499;-0,403;;;;
0,73;0,994;0,456;-0,53;;;;
0,74;0,498;0,097;-0,216;;;;
0,75;0,088;-0,194;-0,054;;;;
0,76;-0,158;-0,434;-0,071;;;;
0,77;-0,448;-0,589;-0,056;;;;
0,78;-0,795;-0,734;-0,072;;;;
0,79;-1,072;-0,757;-0,103;;;;
0,8;-1,573;-0,92;-0,391;;;;
0,81;-1,689;-1,07;-0,593;;;;
0,82;-1,689;-1,251;-0,76;;;;
0,83;-1,533;-1,394;-0,865;;;;
0,84;-1,224;-1,414;-0,864;;;;
0,85;-0,862;-1,367;-0,704;;;;
0,86;-0,5;-1,311;-0,483;;;;
0,87;-0,198;-1,212;-0,248;;;;
0,88;-0,086;-1,008;0,005;;;;
0,89;-0,128;-0,632;0,166;;;;
0,9;-0,232;-0,258;0,158;;;;
0,91;-0,259;-0,087;0,072;;;;
0,92;-0,165;-0,142;-0,119;;;;
0,93;-0,065;-0,285;-0,272;;;;
0,94;-0,004;-0,431;-0,364;;;;
0,95;0,005;-0,477;-0,43;;;;
0,96;-0,016;-0,465;-0,436;;;;
0,97;-0,031;-0,52;-0,427;;;;
0,98;-0,025;-0,545;-0,443;;;;
0,99;-0,04;-0,566;-0,49;;;;
