gamme acceleration : +-2g ;    frequence echantillonnage : 200Hz
t(s);Ax(g);Ay(g);Az(g);F(Hz);TF(Ax);TF(Ay);TF(Az)
0,469;0,002;-0,002;0,001;73,725;0,0;0,0;0,0
0,474;0,006;-0,002;0,0;74,509;0,0;0,0;0,0
0,479;0,006;-0,004;0,001;75,294;0,0;0,0;0,0
0,484;0,002;-0,002;0,003;76,078;0,0;0,0;0,0
0,489;0,009;-0,005;0,007;76,862;0,0;0,0;0,0
0,494;0,002;-0,002;0,007;77,647;0,0;0,0;0,0
0,499;-0,002;0,017;0,003;78,431;0,0;0,0;0,0
0,504;-0,005;-0,002;-0,006;79,215;0,0;0,0;0,0
0,509;-0,002;0,001;0,0;80,0;0,0;0,0;0,0
0,514;0,002;0,002;0,004;80,784;0,0;0,0;0,0
0,519;0,005;0,001;0,016;81,568;0,0;0,0;0,0
0,524;0,001;0,008;0,0;82,352;0,0;0,0;0,0
0,529;0,0;0,006;-0,001;83,137;0,0;0,0;0,0
0,534;-0,002;0,002;-0,008;83,921;0,0;0,0;0,001
0,539;-0,005;0,001;-0,003;84,705;0,0;0,0;0,0
0,544;-0,004;0,008;-0,008;85,49;0,0;0,0;0,0
0,549;-0,001;0,002;-0,003;86,274;0,0;0,0;0,0
0,554;0,002;0,001;-0,003;87,058;0,0;0,0;0,0
0,559;0,001;-0,006;-0,008;87,843;0,0;0,0;0,0
0,565;-0,002;0,001;-0,003;88,627;0,0;0,0;0,0
0,57;0,002;0,002;-0,001;89,411;0,0;0,0;0,0
0,575;0,003;-0,001;0,004;90,196;0,0;0,0;0,0
0,58;0,01;-0,004;0,003;90,98;0,0;0,0;0,0
0,585;0,002;0,0;-0,007;91,764;0,0;0,0;0,0
0,589;0,002;0,001;0,0;92,549;0,0;0,0;0,0
0,594;0,003;-0,006;-0,003;93,333;0,0;0,0;0,0
0,599;0,002;-0,005;0,006;94,117;0,0;0,0;0,0
0,604;0,001;0,002;0,003;94,901;0,0;0,0;0,001
0,609;0,004;-0,001;-0,008;95,686;0,0;0,0;0,0
0,614;0,002;-0,006;0,007;96,47;0,0;0,0;0,0
0,619;0,001;-0,002;0,006;97,254;0,0;0,0;0,0
0,624;0,0;0,002;0,007;98,039;0,0;0,0;0,0
0,629;-0,014;0,001;-0,008;98,823;0,0;0,0;0,0
0,634;-0,006;0,006;-0,016;99,607;0,0;0,0;0,0
0,639;-0,001;0,0;-0,003;;;;
0,644;0,002;0,001;0,001;;;;
0,649;-0,001;0,003;-0,007;;;;
0,654;-0,005;0,002;0,0;;;;
0,659;0,001;0,002;0,006;;;;
0,664;-0,002;0,001;0,003;;;;
0,669;0,002;-0,002;0,007;;;;
0,674;0,0;0,002;0,003;;;;
0,679;-0,002;0,001;-0,001;;;;
0,684;-0,005;0,0;-0,023;;;;
0,69;-0,002;0,002;-0,003;;;;
0,694;-0,002;0,006;-0,003;;;;
0,699;0,018;0,01;-0,013;;;;
0,704;0,001;-0,002;0,007;;;;
0,709;0,002;0,003;0,007;;;;
0,714;0,002;-0,001;0,007;;;;
0,719;0,01;0,017;0,015;;;;
0,724;0,006;0,002;0,007;;;;
0,729;0,006;-0,002;-0,003;;;;
0,734;0,01;-0,006;-0,008;;;;
0,739;0,002;0,002;-0,003;;;;
0,744;0,001;0,001;0,003;;;;
0,749;0,002;-0,002;0,0;;;;
0,754;0,005;0,0;0,0;;;;
0,759;0,006;-0,009;0,0;;;;
0,764;0,003;-0,005;0,0;;;;
0,769;0,002;-0,004;-0,006;;;;
0,774;0,001;-0,001;0,001;;;;
0,779;-0,001;-0,001;-0,001;;;;
0,784;0,002;0,001;0,007;;;;
0,789;0,003;-0,002;-0,003;;;;
0,794;0,018;0,01;0,0;;;;
0,799;0,002;-0,001;0,007;;;;
0,804;0,0;0,0;0,0;;;;
0,809;0,001;-0,005;0,0;;;;
0,814;0,003;-0,002;-0,003;;;;
0,819;0,002;-0,002;-0,001;;;;
0,824;0,002;-0,002;0,0;;;;
0,829;0,002;-0,002;0,003;;;;
0,834;0,002;-0,007;0,007;;;;
0,839;0,003;-0,005;0,006;;;;
0,844;0,001;-0,004;0,0;;;;
0,849;0,002;-0,004;0,0;;;;
0,854;0,002;-0,002;0,0;;;;
0,859;0,006;-0,006;0,0;;;;
0,864;0,001;-0,004;0,0;;;;
0,869;0,006;0,0;0,003;;;;
0,874;0,005;-0,001;0,0;;;;
0,879;0,003;0,0;0,01;;;;
0,884;0,014;0,018;-0,012;;;;
0,889;0,003;-0,009;0,001;;;;
0,894;0,002;-0,006;0,0;;;;
0,899;0,008;-0,001;0,0;;;;
0,904;-0,006;0,001;0,0;;;;
0,909;0,001;0,0;0,001;;;;
0,914;0,002;-0,002;0,003;;;;
0,919;0,0;-0,006;0,0;;;;
0,924;0,0;-0,002;0,001;;;;
0,929;0,002;0,0;-0,001;;;;
0,934;0,003;-0,002;0,0;;;;
0,939;0,002;-0,01;0,0;;;;
0,944;0,002;-0,006;0,003;;;;
0,949;0,002;-0,004;0,001;;;;
0,954;0,004;-0,001;0,005;;;;
0,959;0,002;0,002;-0,001;;;;
0,964;0,002;0,002;0,0;;;;
0,969;0,002;0,002;0,0;;;;
0,974;-0,001;-0,014;0,001;;;;
0,979;-0,006;0,002;-0,006;;;;
0,984;0,0;-0,002;0,003;;;;
0,989;0,003;-0,002;0,003;;;;
0,994;-0,002;-0,001;0,0;;;;
0,999;0,0;-0,002;0,007;;;;
1,004;0,0;-0,001;0,0;;;;
1,009;-0,002;0,002;0,003;;;;
1,014;-0,002;0,0;-0,003;;;;
1,019;0,002;0,001;0,0;;;;
1,025;0,002;0,002;0,003;;;;
1,029;0,0;0,002;0,022;;;;
1,035;0,002;-0,001;0,007;;;;
1,039;0,003;0,001;0,007;;;;
1,045;0,004;-0,001;0,0;;;;
1,049;0,001;-0,002;-0,012;;;;
1,055;0,006;-0,006;-0,014;;;;
1,059;0,0;-0,002;-0,008;;;;
1,065;-0,018;-0,005;-0,016;;;;
1,069;0,002;-0,009;0,0;;;;
1,074;0,001;-0,006;-0,007;;;;
1,079;0,002;-0,005;-0,001;;;;
1,084;-0,014;0,002;0,001;;;;
1,089;0,002;0,003;0,0;;;;
1,094;0,003;0,002;0,0;;;;
1,099;-0,004;0,001;-0,003;;;;
1,104;-0,002;0,002;0,0;;;;
1,109;0,001;0,0;-0,003;;;;
1,114;0,002;-0,004;-0,003;;;;
1,119;-0,005;0,003;0,0;;;;
1,124;0,002;0,001;-0,008;;;;
1,13;0,001;0,002;-0,008;;;;
1,134;-0,006;0,01;-0,008;;;;
1,14;0,002;0,002;0,007;;;;
1,144;0,002;0,001;-0,003;;;;
1,15;0,006;0,0;-0,008;;;;
1,154;-0,005;-0,001;0,015;;;;
